test_id,category,phase,persona,risk,precondition,action,expected_result,automation,source_basis
ID-001,stable_entity,M1,tracker_migrant,critical,No provider record exists.,Create a manual movie record.,Fasti creates one stable entity that remains usable with no external identifier.,automated,Fasti constitution
ID-002,stable_entity,M2,tracker_migrant,critical,Entity has IMDb only.,Attach a TMDB assertion later.,The Fasti entity ID and Chronicle links do not change.,automated,partial identity requirement
ID-003,stable_entity,M3,household_owner,critical,Entity displays TMDB metadata and also has TVDB.,Switch display preference to TVDB.,Only metadata projection changes; entity ID and Chronicle interpretation stay fixed.,automated,Floppy #387
ID-004,stable_entity,M3,integration_developer,high,API client stores a Fasti entity URL.,Change every external provider preference.,The same API URL resolves to the entity.,automated,provider-neutral identity
ID-005,stable_entity,M1,support_engineer,high,External identity is active.,Mark the external ID stale after verified 404.,Entity remains active; stale state and last success are visible.,automated,provider disappearance
ID-006,stable_entity,M4,mapping_maintainer,critical,Accepted assertion is later known wrong.,Publish a revocation.,"Assertion remains auditable, is excluded from new resolution, and prior decisions list its use.",automated,Electric-Town revocation
ID-007,stable_entity,M1,support_engineer,critical,External ID is retired with a replacement.,Add a tombstone redirect.,Old identifier resolves through a terminating redirect and is never reused.,automated,Electric-Town lifecycle
ID-008,stable_entity,M1,qa_engineer,critical,Two tombstones exist.,Attempt to create a redirect cycle.,Validation rejects the cycle with a stable error.,property,Electric-Town lifecycle
ID-009,stable_entity,M4,tracker_migrant,critical,Two entities were merged by reviewed decision.,Resolve the retired entity ID.,It redirects to the survivor and preserves merge lineage.,automated,identity lifecycle
ID-010,stable_entity,M4,tracker_migrant,critical,One entity needs to be split.,Apply a reviewed split decision.,New entities are created with lineage; original observations remain and interpretations are explicitly reassigned or unresolved.,manual+automated,data integrity
ID-011,stable_entity,M2,tracker_migrant,high,Import carries an unknown provider ID.,Create a source-scoped identity.,"Fasti preserves namespace, raw ID, source route and source row without claiming global equivalence.",automated,compatibility layer
ID-012,stable_entity,M1,privacy_engineer,high,Entity has private source evidence.,Export normal user archive.,Archive includes required identity evidence but omits secrets and disallowed raw payload fields.,automated,privacy
ID-013,stable_entity,M1,backup_owner,critical,"Entity has assertions, revocation and redirect.",Backup and restore to a clean instance.,All stable IDs and lifecycle behavior remain equivalent.,automated,restore safety
ID-014,stable_entity,M1,api_developer,high,Client submits provider ID as resource key.,Call canonical entity mutation endpoint.,API requires or resolves a Fasti entity and does not expose provider ID as canonical storage key.,automated,API-first
ID-015,stable_entity,M1,qa_engineer,critical,Two requests create the same source-scoped entity concurrently.,Submit with same idempotency key and payload digest.,One entity and one receipt exist; replay returns the original result.,chaos,idempotency
ID-016,partial_identity,M2,anime_specialist,critical,SIMKL row contains IMDb and Kitsu but no MAL.,Import the row.,"Fasti creates or reuses one entity, keeps both IDs and reports no dead result.",automated,user example
ID-017,partial_identity,M3,anime_specialist,high,Entity has IMDb and Kitsu.,Request TMDB display enrichment.,Resolver may use IMDb for lookup while keeping Kitsu for Kitsu-native operations.,automated,Nuvio #2742
ID-018,partial_identity,M4,anime_specialist,high,Same entity later receives MAL through a verified bundle.,Stage and accept identifier-only assertion.,MAL is attached; history and topology remain unchanged.,automated,mapping enrichment
ID-019,partial_identity,M4,anime_specialist,critical,MAL candidate conflicts with existing Kitsu topology.,Run reconciliation.,"Fasti offers identifier-only attach, topology compare, reject and defer; no forced merge.",manual,AnimeAPI #11
ID-020,partial_identity,M3,metadata_user,high,Enrichment provider times out.,Run enrichment.,"Job retries with backoff, keeps last-known-good data and marks pending/failed without deleting record.",chaos,offline/cache
ID-021,partial_identity,M3,metadata_user,high,One source returns 404 and another succeeds.,Refresh metadata.,Failed assertion becomes stale; successful claims remain active; one source failure does not blank the record.,automated,provider failure isolation
ID-022,partial_identity,M2,tracker_migrant,high,Import contains only title/year and no ID.,Preview import.,Fasti creates a candidate or source-scoped unresolved row; it never auto-merges on title.,automated,no title merge
